09/12/2024 06:07:25 PM logger_rmtheis___tess-two INFO <<<<<<<<<<<<<<<<<< Logger setup anew <<<<<<<<<<<<<<<<<<< (utils.py:39) (rmtheis___tess-two)
09/12/2024 06:07:25 PM logger_rmtheis___tess-two INFO Analyzing repos/repos_400_c_round_two/rmtheis___tess-two (install_repos.py:285) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at java.base/jdk.internal.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at java.base/java.lang.reflect.Constructor.newInstanceWithCaller(Constructor.java:500) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at java.base/java.lang.reflect.Constructor.newInstance(Constructor.java:481) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.reflect.DirectInstantiator.newInstance(DirectInstantiator.java:51) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.api.internal.ClassGeneratorBackedInstantiator.newInstance(ClassGeneratorBackedInstantiator.java:36) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.SettingsFactory.createSettings(SettingsFactory.java:52) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.ScriptEvaluatingSettingsProcessor.process(ScriptEvaluatingSettingsProcessor.java:56) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.PropertiesLoadingSettingsProcessor.process(PropertiesLoadingSettingsProcessor.java:37) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.SettingsEvaluatedCallbackFiringSettingsProcessor.process(SettingsEvaluatedCallbackFiringSettingsProcessor.java:34) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.RootBuildCacheControllerSettingsProcessor.process(RootBuildCacheControllerSettingsProcessor.java:36) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.BuildOperationSettingsProcessor$2.call(BuildOperationSettingsProcessor.java:48) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.BuildOperationSettingsProcessor$2.call(BuildOperationSettingsProcessor.java:45) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor$CallableBuildOperationWorker.execute(DefaultBuildOperationExecutor.java:315) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor$CallableBuildOperationWorker.execute(DefaultBuildOperationExecutor.java:305) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor.execute(DefaultBuildOperationExecutor.java:175) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor.call(DefaultBuildOperationExecutor.java:101) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.operations.DelegatingBuildOperationExecutor.call(DelegatingBuildOperationExecutor.java:36) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.BuildOperationSettingsProcessor.process(BuildOperationSettingsProcessor.java:45) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.DefaultSettingsLoader.findSettingsAndLoadIfAppropriate(DefaultSettingsLoader.java:104) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.DefaultSettingsLoader.findAndLoadSettings(DefaultSettingsLoader.java:45) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.SettingsAttachingSettingsLoader.findAndLoadSettings(SettingsAttachingSettingsLoader.java:35) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.composite.CommandLineIncludedBuildSettingsLoader.findAndLoadSettings(CommandLineIncludedBuildSettingsLoader.java:34) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.composite.ChildBuildRegisteringSettingsLoader.findAndLoadSettings(ChildBuildRegisteringSettingsLoader.java:47) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.composite.CompositeBuildSettingsLoader.findAndLoadSettings(CompositeBuildSettingsLoader.java:35) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.DefaultGradleLauncher$LoadBuild.run(DefaultGradleLauncher.java:277) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor$RunnableBuildOperationWorker.execute(DefaultBuildOperationExecutor.java:301) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor$RunnableBuildOperationWorker.execute(DefaultBuildOperationExecutor.java:293) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor.execute(DefaultBuildOperationExecutor.java:175) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor.run(DefaultBuildOperationExecutor.java:91) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.operations.DelegatingBuildOperationExecutor.run(DelegatingBuildOperationExecutor.java:31) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.DefaultGradleLauncher.loadSettings(DefaultGradleLauncher.java:202) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.DefaultGradleLauncher.doBuildStages(DefaultGradleLauncher.java:147) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.initialization.DefaultGradleLauncher.executeTasks(DefaultGradleLauncher.java:134) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.invocation.GradleBuildController$1.execute(GradleBuildController.java:58) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.invocation.GradleBuildController$1.execute(GradleBuildController.java:55) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.invocation.GradleBuildController$3.create(GradleBuildController.java:82) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.invocation.GradleBuildController$3.create(GradleBuildController.java:75) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.work.DefaultWorkerLeaseService.withLocks(DefaultWorkerLeaseService.java:183) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.work.StopShieldingWorkerLeaseService.withLocks(StopShieldingWorkerLeaseService.java:40) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.invocation.GradleBuildController.doBuild(GradleBuildController.java:75) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.invocation.GradleBuildController.run(GradleBuildController.java:55) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.ExecuteBuildActionRunner.run(ExecuteBuildActionRunner.java:31) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.exec.ChainingBuildActionRunner.run(ChainingBuildActionRunner.java:35) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.exec.BuildOutcomeReportingBuildActionRunner.run(BuildOutcomeReportingBuildActionRunner.java:58) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.ValidatingBuildActionRunner.run(ValidatingBuildActionRunner.java:32) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.exec.BuildCompletionNotifyingBuildActionRunner.run(BuildCompletionNotifyingBuildActionRunner.java:39) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.exec.RunAsBuildOperationBuildActionRunner$3.call(RunAsBuildOperationBuildActionRunner.java:49) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.exec.RunAsBuildOperationBuildActionRunner$3.call(RunAsBuildOperationBuildActionRunner.java:44) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor$CallableBuildOperationWorker.execute(DefaultBuildOperationExecutor.java:315) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor$CallableBuildOperationWorker.execute(DefaultBuildOperationExecutor.java:305) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor.execute(DefaultBuildOperationExecutor.java:175) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.operations.DefaultBuildOperationExecutor.call(DefaultBuildOperationExecutor.java:101) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.operations.DelegatingBuildOperationExecutor.call(DelegatingBuildOperationExecutor.java:36) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.exec.RunAsBuildOperationBuildActionRunner.run(RunAsBuildOperationBuildActionRunner.java:44) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.exec.InProcessBuildActionExecuter$1.transform(InProcessBuildActionExecuter.java:49) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.exec.InProcessBuildActionExecuter$1.transform(InProcessBuildActionExecuter.java:46) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.composite.internal.DefaultRootBuildState.run(DefaultRootBuildState.java:78) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.exec.InProcessBuildActionExecuter.execute(InProcessBuildActionExecuter.java:46) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.exec.InProcessBuildActionExecuter.execute(InProcessBuildActionExecuter.java:31) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.exec.BuildTreeScopeBuildActionExecuter.execute(BuildTreeScopeBuildActionExecuter.java:42) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.exec.BuildTreeScopeBuildActionExecuter.execute(BuildTreeScopeBuildActionExecuter.java:28) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.ContinuousBuildActionExecuter.execute(ContinuousBuildActionExecuter.java:78) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.ContinuousBuildActionExecuter.execute(ContinuousBuildActionExecuter.java:52) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.SubscribableBuildActionExecuter.execute(SubscribableBuildActionExecuter.java:59) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.SubscribableBuildActionExecuter.execute(SubscribableBuildActionExecuter.java:36) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.SessionScopeBuildActionExecuter.execute(SessionScopeBuildActionExecuter.java:68) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.SessionScopeBuildActionExecuter.execute(SessionScopeBuildActionExecuter.java:38) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.GradleThreadBuildActionExecuter.execute(GradleThreadBuildActionExecuter.java:37) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.GradleThreadBuildActionExecuter.execute(GradleThreadBuildActionExecuter.java:26) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.ParallelismConfigurationBuildActionExecuter.execute(ParallelismConfigurationBuildActionExecuter.java:43) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.ParallelismConfigurationBuildActionExecuter.execute(ParallelismConfigurationBuildActionExecuter.java:29) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.StartParamsValidatingActionExecuter.execute(StartParamsValidatingActionExecuter.java:60) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.StartParamsValidatingActionExecuter.execute(StartParamsValidatingActionExecuter.java:32) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.SessionFailureReportingActionExecuter.execute(SessionFailureReportingActionExecuter.java:55) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.SessionFailureReportingActionExecuter.execute(SessionFailureReportingActionExecuter.java:41) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.SetupLoggingActionExecuter.execute(SetupLoggingActionExecuter.java:48) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.tooling.internal.provider.SetupLoggingActionExecuter.execute(SetupLoggingActionExecuter.java:32) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.exec.ExecuteBuild.doBuild(ExecuteBuild.java:67) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.exec.BuildCommandOnly.execute(BuildCommandOnly.java:36) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.api.DaemonCommandExecution.proceed(DaemonCommandExecution.java:104) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.exec.WatchForDisconnection.execute(WatchForDisconnection.java:37) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.api.DaemonCommandExecution.proceed(DaemonCommandExecution.java:104) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.exec.ResetDeprecationLogger.execute(ResetDeprecationLogger.java:26) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.api.DaemonCommandExecution.proceed(DaemonCommandExecution.java:104) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.exec.RequestStopIfSingleUsedDaemon.execute(RequestStopIfSingleUsedDaemon.java:34) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.api.DaemonCommandExecution.proceed(DaemonCommandExecution.java:104) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.exec.ForwardClientInput$2.call(ForwardClientInput.java:74) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.exec.ForwardClientInput$2.call(ForwardClientInput.java:72) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.util.Swapper.swap(Swapper.java:38) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.exec.ForwardClientInput.execute(ForwardClientInput.java:72) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.api.DaemonCommandExecution.proceed(DaemonCommandExecution.java:104) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.exec.LogAndCheckHealth.execute(LogAndCheckHealth.java:55) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.api.DaemonCommandExecution.proceed(DaemonCommandExecution.java:104) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.exec.LogToClient.doBuild(LogToClient.java:62) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.exec.BuildCommandOnly.execute(BuildCommandOnly.java:36) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.api.DaemonCommandExecution.proceed(DaemonCommandExecution.java:104) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.exec.EstablishBuildEnvironment.doBuild(EstablishBuildEnvironment.java:81) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.exec.BuildCommandOnly.execute(BuildCommandOnly.java:36) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.api.DaemonCommandExecution.proceed(DaemonCommandExecution.java:104) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.exec.StartBuildOrRespondWithBusy$1.run(StartBuildOrRespondWithBusy.java:50) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.launcher.daemon.server.DaemonStateCoordinator$1.run(DaemonStateCoordinator.java:295) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.concurrent.ExecutorPolicy$CatchAndRecordFailures.onExecute(ExecutorPolicy.java:63) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at org.gradle.internal.concurrent.ManagedExecutorImpl$1.run(ManagedExecutorImpl.java:46) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1136) (install_repos.py:38) (rmtheis___tess-two)
09/12/2024 06:07:28 PM logger_rmtheis___tess-two DEBUG at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:635) (install_repos.py:38) (rmtheis___tess-two)
